Name_encoded,Location_encoded,Miles_Driven,Fuel_Type_int,Transmision_int,Owner_Type_int,Mileage_mpg,Engine_CC,Power,Seats,Price_USD
502,10,25476.211,0.0,1,,44.69077077,1582.0,126.0,5.0,14977.88
477,2,28583.066,1.0,1,,30.57789579,1199.0,88.0,5.0,5392.04
1014,2,54059.277,0.0,1,,47.0429166,1248.0,88.0,7.0,7189.38
22,3,25271.15857,0.0,0,,35.28218745,1968.0,140.0,5.0,21256.6
1317,6,54058.655629,0.0,1,,54.09935409,1461.0,63.0,5.0,4193.8
1709,9,22369.356,0.0,0,,25.87360413,2755.0,171.0,8.0,20969.03
1775,10,40034.93353,0.0,1,,47.0429166,1598.0,103.0,5.0,6230.8
1515,2,40968.232772,0.0,1,,51.74720826,1248.0,74.0,5.0,2336.55
995,7,15964.263732,1.0,1,,49.39506243,1462.0,103.0,5.0,11922.39
413,8,37282.26,1.0,0,,37.63433328,1497.0,116.0,5.0,5380.05
1110,6,40031.205304,0.0,1,,58.80364575,1248.0,74.0,5.0,6710.09
781,4,44738.712,0.0,0,,28.22574996,2179.0,187.0,5.0,32352.21
778,10,52816.535,0.0,0,,0.0,2179.0,115.0,5.0,20969.03
1309,4,68350.81,0.0,1,,30.57789579,2477.0,175.0,7.0,17973.45
359,7,36629.82045,0.0,1,,58.80364575,1498.0,98.0,5.0,6470.44
1074,6,15534.275,0.0,1,,65.86008324,1248.0,74.0,5.0,7177.4
1381,7,48136.989999,0.0,1,,47.0429166,1461.0,83.0,5.0,7596.78
1259,1,48777.6235,0.0,0,,32.93004162,2143.0,167.0,5.0,33550.44
73,7,20494.058322,0.0,0,,51.74720826,1995.0,190.0,5.0,22227.17
1050,1,34418.982432,0.0,1,,54.09935409,1248.0,88.0,5.0,9885.4
32,9,34787.455435,1.0,0,,30.57789579,1984.0,177.0,5.0,28158.4
682,8,28463.141397,1.0,1,,42.33862494,1197.0,80.0,5.0,2240.69
1784,8,20505.243,1.0,0,,32.93004162,1598.0,103.0,5.0,3414.96
417,9,32261.58232,1.0,1,,37.63433328,1497.0,116.0,5.0,5092.48
1317,5,33554.034,0.0,1,,37.63433328,1461.0,63.0,5.0,5092.48
922,5,33554.034,1.0,1,,47.0429166,998.0,67.0,5.0,3295.13
490,7,23257.91653,1.0,1,,39.98647911,1199.0,88.0,5.0,11862.48
1690,9,162799.202,0.0,1,,28.22574996,2494.0,102.0,7.0,4792.92
1373,1,38525.002,0.0,1,,44.69077077,1461.0,108.0,5.0,9286.28
1623,4,54441.420165,1.0,1,,32.93004162,1798.0,138.0,5.0,8088.05
867,1,44738.712,0.0,0,,25.87360413,2696.0,184.0,7.0,14977.88
24,8,21747.985,0.0,0,,28.22574996,2698.0,179.0,5.0,13779.64
1772,3,34443.215901,1.0,1,,37.63433328,1598.0,103.0,5.0,8363.65
1144,6,52080.831736,1.0,1,,32.93004162,1061.0,64.0,5.0,2216.73
1132,7,31115.152825,0.0,1,,56.45149992,1248.0,88.0,5.0,10340.72
815,4,32311.292,1.0,1,,42.33862494,1198.0,82.0,5.0,5811.42
1240,10,52816.535,0.0,0,,25.87360413,2987.0,254.0,5.0,33550.44
1753,2,38525.002,0.0,1,,51.74720826,1199.0,73.0,5.0,5991.15
930,4,55923.39,1.0,1,,44.69077077,796.0,46.0,5.0,1497.79
1551,7,12239.765958,1.0,1,,58.80364575,624.0,37.0,4.0,1833.29
813,3,13690.667243,0.0,1,,58.80364575,1198.0,77.0,6.0,6686.12
730,7,22050.592677,1.0,1,,42.33862494,1197.0,82.0,5.0,5679.61
525,1,28815.458754,1.0,0,,32.93004162,1999.0,149.0,5.0,10604.34
1624,9,32311.913371,1.0,0,,32.93004162,1798.0,138.0,5.0,12114.11
526,0,36042.624855,0.0,1,,32.93004162,1991.0,112.0,5.0,5092.48
1707,1,43933.415184,1.0,1,,25.87360413,2694.0,163.0,7.0,13120.62
638,6,46602.825,0.0,1,,56.45149992,1120.0,71.0,5.0,4613.19
874,6,47099.921800000004,0.0,1,,37.63433328,2498.0,105.0,6.0,6590.26
8,7,8480.471408,0.0,0,,39.98647911,1968.0,174.0,5.0,25678.07
1097,4,32311.292,0.0,1,,51.74720826,1248.0,74.0,5.0,5092.48
1106,8,32932.663,0.0,1,,39.98647911,1248.0,75.0,5.0,3954.16
1109,4,40793.00615,0.0,1,,65.86008324,1248.0,74.0,5.0,4613.19
566,2,33554.034,1.0,1,,42.33862494,1197.0,82.0,5.0,4313.63
1773,8,24233.469,1.0,1,,35.28218745,1598.0,103.0,5.0,4780.94
1395,7,10278.719082,1.0,1,,58.80364575,799.0,53.0,5.0,3954.16
656,8,19883.872,1.0,1,,47.0429166,1197.0,78.0,5.0,2480.34
1351,5,75690.444252,0.0,0,,21.16931247,1995.0,147.0,5.0,9286.28
1167,5,24419.8803,1.0,1,,42.33862494,998.0,67.0,5.0,2696.02
1703,9,13670.162,0.0,1,,30.57789579,2393.0,147.0,8.0,19770.8
321,1,44738.712,0.0,1,,47.0429166,1399.0,68.0,5.0,3295.13
1254,4,36039.518000000004,1.0,0,,25.87360413,1796.0,186.0,5.0,31992.74
1242,10,40389.115,0.0,1,,35.28218745,2148.0,170.0,5.0,11982.3
1510,2,110604.038,0.0,1,,58.80364575,1396.0,69.0,5.0,2995.58
11,6,40801.705344,0.0,0,,37.63433328,1968.0,140.0,5.0,16176.1
422,9,39146.373,1.0,0,,37.63433328,1497.0,78.0,5.0,2216.73
1182,3,9549.850899000001,0.0,0,,0.0,1950.0,194.0,5.0,42740.86
1012,10,39146.373,0.0,1,,56.45149992,1248.0,88.0,7.0,9765.57
499,9,8077.823,0.0,1,,51.74720826,1396.0,88.0,5.0,12581.42
1355,9,45360.083,1.0,0,,18.81716664,4806.0,500.0,5.0,17374.34
891,9,34628.384459,0.0,1,,35.28218745,2179.0,140.0,7.0,11562.92
675,7,28072.299038,1.0,0,,37.63433328,1197.0,78.0,5.0,4169.84
1348,7,34837.786486,0.0,1,,44.69077077,1461.0,108.0,5.0,8291.75
388,3,23177.1383,1.0,0,,37.63433328,1198.0,86.0,5.0,7740.57
23,4,34796.776,0.0,0,,42.33862494,1968.0,187.0,5.0,35347.79
1673,2,142915.33,1.0,1,,28.22574996,1998.0,132.0,8.0,5392.04
1696,5,64622.584,0.0,1,,28.22574996,2494.0,102.0,7.0,14079.2
1109,6,59092.3821,0.0,1,,51.74720826,1248.0,74.0,5.0,4493.36
1598,10,43495.97,1.0,1,,39.98647911,1193.0,88.0,5.0,5392.04
363,7,34140.608224,1.0,1,,42.33862494,1198.0,86.0,5.0,5775.47
322,5,43705.372027,0.0,1,,47.0429166,1399.0,68.0,5.0,3355.04
1043,6,61912.163698000004,0.0,1,,54.09935409,1248.0,73.0,5.0,3726.5
438,4,32311.292,1.0,1,,39.98647911,1497.0,117.0,5.0,3894.25
96,4,46602.825,0.0,0,,37.63433328,1995.0,218.0,5.0,16655.4
674,10,59639.18858,1.0,1,,47.0429166,1197.0,78.0,5.0,2696.02
566,1,9941.936,1.0,1,,42.33862494,1197.0,82.0,5.0,6889.82
363,9,11774.359079,1.0,1,,39.98647911,1198.0,86.0,5.0,5991.15
1667,4,66486.697,0.0,1,,30.57789579,2982.0,168.0,7.0,19770.8
30,3,30053.851157,0.0,0,,39.98647911,1968.0,174.0,5.0,47425.94
254,4,35418.147,0.0,1,,51.74720826,1498.0,89.0,5.0,6590.26
890,4,36039.518000000004,0.0,1,,35.28218745,2179.0,140.0,7.0,9705.66
362,8,18641.13,0.0,1,,58.80364575,1498.0,98.0,5.0,4193.8
1752,8,21258.344652,0.0,1,,51.74720826,1199.0,73.0,5.0,3343.06
626,0,43497.212742,0.0,1,,37.63433328,1493.0,110.0,5.0,4133.89
1153,1,38525.002,1.0,1,,42.33862494,998.0,67.0,5.0,5332.12
1761,4,38525.623371,1.0,1,,35.28218745,1598.0,103.0,5.0,3175.31
694,10,49062.211418,0.0,1,,54.09935409,1396.0,90.0,5.0,4553.27
718,9,18752.97678,1.0,1,,42.33862494,1197.0,82.0,5.0,5571.77
202,10,20412.658721,1.0,1,,44.69077077,1198.0,67.0,7.0,4733.01
15,8,18641.13,0.0,0,,32.93004162,2967.0,241.0,5.0,11742.65
701,10,41010.486,1.0,1,,39.98647911,1197.0,80.0,5.0,3235.22
1030,3,58315.66835,1.0,1,,32.93004162,796.0,35.0,5.0,2887.73
1645,0,32932.663,1.0,1,,39.98647911,1197.0,78.0,5.0,4673.1
748,5,48466.938,0.0,0,,32.93004162,2993.0,270.0,5.0,28757.52
890,4,40389.115,0.0,1,,37.63433328,2179.0,140.0,7.0,6889.82
604,8,24854.84,0.0,0,,51.74720826,1582.0,126.0,5.0,6290.71
1710,9,18641.13,0.0,0,,25.87360413,2755.0,171.0,7.0,23065.93
1006,3,23645.030663,1.0,1,,35.28218745,1196.0,73.0,5.0,4685.08
1555,1,15844.960500000001,1.0,1,,58.80364575,624.0,37.0,4.0,2576.19
78,9,34850.835277,0.0,0,,51.74720826,1995.0,190.0,5.0,24863.27
457,4,44172.021648,1.0,1,,30.57789579,1799.0,130.0,5.0,4014.07
1692,0,34175.405,0.0,1,,28.22574996,2494.0,100.0,7.0,13312.34
1795,1,20318.8317,0.0,0,,54.09935409,1984.0,150.0,5.0,23964.6
1324,3,24781.518222,1.0,0,,44.69077077,1198.0,75.0,5.0,7848.41
102,9,79535.488,1.0,0,,23.5214583,2497.0,215.0,5.0,8387.61
1129,9,34175.405,0.0,1,,56.45149992,1248.0,88.0,5.0,8986.72
1181,10,33400.555363,0.0,0,,35.28218745,2143.0,107.0,5.0,20070.35
620,8,6369.05275,0.0,1,,51.74720826,1582.0,126.0,5.0,13120.62
1142,10,27262.031254,1.0,1,,42.33862494,998.0,67.0,5.0,2935.66
1557,3,20308.889764,1.0,0,,49.39506243,624.0,37.0,4.0,3870.28
855,8,26097.582,0.0,1,,28.22574996,2179.0,120.0,8.0,9286.28
1244,8,17617.110592,1.0,0,,25.87360413,1796.0,178.0,5.0,11203.45
394,1,29639.3967,1.0,1,,23.5214583,2354.0,152.0,5.0,6290.71
1767,10,34175.405,0.0,0,,49.39506243,1498.0,103.0,5.0,8687.17
987,7,27517.414735000002,1.0,1,,47.0429166,1373.0,91.0,5.0,8950.78
880,6,33554.034,0.0,0,,37.63433328,2179.0,140.0,7.0,15876.55
1045,3,18785.288072,1.0,1,,49.39506243,1197.0,85.0,5.0,6961.72
925,5,54991.3335,1.0,1,,56.45149992,998.0,67.0,5.0,3115.4
1282,8,8308.973012,1.0,0,,44.69077077,2996.0,362.0,2.0,64704.42
632,7,7857.236295,1.0,0,,39.98647911,1591.0,121.0,5.0,13779.64
932,2,58648.101835,1.0,1,,44.69077077,796.0,46.0,5.0,1917.17
69,3,19772.646591,0.0,0,,47.0429166,1995.0,143.0,5.0,20633.52
465,9,7456.452,1.0,0,,44.69077077,1199.0,88.0,5.0,7189.38
457,4,55039.800438,1.0,1,,30.57789579,1799.0,130.0,5.0,4733.01
1258,7,27939.947015,0.0,0,,44.69077077,2143.0,170.0,5.0,21508.23
362,8,27989.035324,0.0,1,,58.80364575,1498.0,98.0,5.0,4433.45
1113,7,21253.373684000002,1.0,1,,51.74720826,1197.0,81.0,5.0,6506.39
1662,3,56690.783185,0.0,1,,25.87360413,2982.0,171.0,7.0,16164.12
170,10,24109.1948,1.0,1,,42.33862494,1199.0,76.0,5.0,3414.96
1452,2,51573.793,0.0,1,,49.39506243,1498.0,103.0,5.0,5691.59
976,7,25652.058993,1.0,1,,47.0429166,1373.0,91.0,5.0,11862.48
66,9,14291.533,1.0,0,,25.87360413,2894.0,444.0,4.0,44334.51
92,9,29825.808,0.0,0,,49.39506243,1995.0,190.0,5.0,31753.1
8,3,29958.781394,0.0,0,,39.98647911,1968.0,174.0,5.0,27942.72
1109,2,21747.985,0.0,1,,51.74720826,1248.0,74.0,5.0,7488.94
1277,8,21920.104767,1.0,0,,16.46502081,5461.0,362.0,5.0,35946.9
1448,3,33939.28402,0.0,0,,49.39506243,1498.0,103.0,5.0,11814.55
1485,10,85125.962887,0.0,0,,39.98647911,1968.0,138.0,5.0,10184.96
521,7,8899.275462,1.0,1,,49.39506243,814.0,55.0,5.0,5068.51
1753,6,40783.064214,0.0,1,,51.74720826,1199.0,73.0,5.0,4193.8
199,8,3728.226,1.0,1,,47.0429166,1198.0,67.0,5.0,2995.58
383,8,20679.226880000002,1.0,1,,44.69077077,1198.0,86.0,5.0,2863.77
1180,4,18019.759000000002,1.0,0,,32.93004162,1595.0,120.0,5.0,13480.09
428,7,26613.941301,0.0,1,,61.15579158,1498.0,98.0,5.0,8519.42
1676,0,55923.39,0.0,1,,28.22574996,2494.0,100.0,7.0,13060.71
1118,0,14916.010855,1.0,1,,47.0429166,1197.0,81.0,5.0,7429.03
890,9,20375.997832,0.0,1,,35.28218745,2179.0,140.0,7.0,9466.02
252,7,91899.528158,0.0,1,,51.74720826,1498.0,89.0,5.0,5296.18
1667,9,81874.949815,0.0,1,,30.57789579,2982.0,168.0,7.0,16176.1
1765,2,40389.115,0.0,0,,49.39506243,1498.0,108.0,5.0,7488.94
321,6,41086.914633,0.0,1,,47.0429166,1399.0,68.0,5.0,2516.28
148,9,25476.211,0.0,0,,35.28218745,2993.0,258.0,5.0,53920.35
